,customer_id,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,country,property_valuation,list_price,standard_cost
12,26,Female,12,1978-06-10,45,Editor,Financial Services,Mass Customer,N,Yes,16,4740,QLD,Australia,5,1314.3733333333332,988.8050000000001
13,27,Male,37,1978-09-25,44,Research Nurse,Health,Mass Customer,N,Yes,12,3218,VIC,Australia,7,1097.1385714285714,629.3885714285714
14,28,Male,5,1973-09-30,49,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,4868,QLD,Australia,4,915.4833333333335,354.39000000000004
15,29,Female,62,1968-06-22,54,Safety Technician III,Manufacturing,Mass Customer,N,No,19,4116,QLD,Australia,7,1206.1744444444444,520.0300000000001
16,31,Female,3,1962-11-24,60,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,2135,NSW,Australia,12,777.5,670.9725000000001
17,32,Female,17,1995-04-20,28,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,2756,NSW,Australia,9,1124.74,721.4371428571428
18,35,Female,40,1963-09-28,59,Information Systems Manager,Health,High Net Worth,N,Yes,16,4127,QLD,Australia,6,1045.57,118.9425
19,37,Female,46,1985-12-22,37,Social Worker,Health,High Net Worth,N,No,16,4726,QLD,Australia,1,1254.6344444444444,550.3577777777778
20,38,Female,37,1955-10-29,67,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,4805,QLD,Australia,4,1125.6475,619.3125
21,39,Male,5,1979-04-16,44,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,2212,NSW,Australia,10,936.4325,429.33500000000004
22,40,Female,91,1981-10-27,41,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,2207,NSW,Australia,8,1029.2116666666666,270.52833333333336
23,41,Male,64,1976-04-14,47,Food Chemist,Health,Mass Customer,N,No,16,3350,VIC,Australia,9,1012.6833333333333,490.58444444444444
24,42,Female,24,1977-03-28,46,Accountant III,Manufacturing,Mass Customer,N,No,18,3931,VIC,Australia,10,484.115,377.355
25,43,Female,38,1983-03-01,40,Director of Sales,Retail,Mass Customer,N,No,5,4018,QLD,Australia,8,730.51,328.29333333333335
26,44,Male,63,1981-10-18,41,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,4670,QLD,Australia,2,1071.0571428571427,389.8742857142857
27,45,Male,64,1975-09-23,47,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,2480,NSW,Australia,3,970.7766666666666,621.3933333333333
28,47,Male,51,1992-10-22,30,Registered Nurse,Health,Affluent Customer,N,No,2,2322,NSW,Australia,4,1146.0014285714285,527.1171428571429
29,50,Male,38,1980-10-01,42,Account Executive,Manufacturing,Mass Customer,N,Yes,16,2047,NSW,Australia,10,1156.5825,433.625
30,51,Male,68,1959-12-05,63,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,4503,QLD,Australia,5,1208.4325000000001,601.5075
31,53,Female,22,1954-04-18,69,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,4350,QLD,Australia,3,1094.548,504.534
32,54,Female,2,1966-07-24,56,Sales Associate,Property,Mass Customer,N,Yes,18,2142,NSW,Australia,8,1401.9514285714286,816.4928571428571
33,55,Male,48,1956-09-24,66,Paralegal,Financial Services,Affluent Customer,N,Yes,7,2029,NSW,Australia,10,844.27625,441.66875000000005
34,56,Male,44,1996-07-04,26,VP Sales,Property,Mass Customer,N,Yes,4,2127,NSW,Australia,10,722.9799999999999,540.8028571428572
35,58,Female,26,1967-07-04,55,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,2166,NSW,Australia,9,870.9137499999999,433.2425
36,61,Female,47,1959-11-29,63,Help Desk Operator,Property,High Net Worth,N,No,13,2765,NSW,Australia,7,1199.6114285714286,545.8533333333334
37,63,Female,58,1965-07-03,57,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,2745,NSW,Australia,9,1385.5533333333333,655.5366666666666
38,64,Male,73,1978-03-25,45,Legal Assistant,IT,High Net Worth,N,No,4,3752,VIC,Australia,8,822.2239999999999,712.888
39,65,Male,21,1976-04-01,47,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,2153,NSW,Australia,10,1342.745,602.4766666666667
40,66,Male,46,2002-03-11,21,Account Executive,Argiculture,High Net Worth,N,No,1,2217,NSW,Australia,10,1297.866,388.026
41,67,Male,67,1960-06-14,62,Web Developer II,Retail,Mass Customer,N,No,18,2230,NSW,Australia,10,1060.83,820.1720000000001
42,70,Male,78,1993-02-27,30,Paralegal,Financial Services,Affluent Customer,N,No,8,2070,NSW,Australia,12,960.222,412.842
43,71,Male,30,1985-01-27,38,Research Associate,Argiculture,Affluent Customer,N,Yes,12,2213,NSW,Australia,10,1415.01,1259.36
44,72,Male,93,1972-02-13,51,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,4208,QLD,Australia,6,872.0840000000001,372.2675
45,75,Female,28,1978-07-15,44,VP Product Management,Property,Mass Customer,N,No,19,2756,NSW,Australia,8,891.32875,268.83625
46,76,Female,20,1978-01-23,45,Statistician II,Retail,High Net Worth,N,Yes,18,4213,QLD,Australia,9,928.13,569.61
47,77,Male,79,1989-09-12,33,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,4170,QLD,Australia,5,988.2433333333333,435.71666666666664
48,78,Male,37,1985-03-12,38,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,2153,NSW,Australia,9,569.56,528.43
49,79,Female,76,1968-10-02,54,Account Executive,Manufacturing,Mass Customer,N,No,18,2073,NSW,Australia,10,1126.905,693.995
50,80,Male,11,1978-04-24,45,Data Coordiator,Entertainment,Mass Customer,N,No,13,3561,VIC,Australia,1,1256.482,657.596
51,82,Female,93,1965-06-28,57,Software Test Engineer III,Property,High Net Worth,N,No,19,3977,VIC,Australia,8,1058.782,473.908
52,83,Male,97,1967-02-26,56,Internal Auditor,IT,Mass Customer,N,Yes,18,2204,NSW,Australia,12,744.1083333333332,444.4083333333333
53,86,Male,75,1989-03-04,34,Occupational Therapist,Health,High Net Worth,N,Yes,7,2075,NSW,Australia,11,813.2611111111112,551.0288888888889
54,87,Male,78,1974-04-23,49,Editor,Financial Services,Mass Customer,N,No,8,2038,NSW,Australia,12,888.3033333333333,472.66333333333336
55,88,Female,41,1966-02-03,57,Help Desk Operator,Property,High Net Worth,N,Yes,7,2069,NSW,Australia,12,925.1383333333333,502.75
56,89,Male,74,1967-01-22,56,Speech Pathologist,Health,Mass Customer,N,Yes,14,2100,NSW,Australia,11,1415.7155555555555,773.5322222222222
57,90,Male,76,1984-11-12,38,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,2233,NSW,Australia,10,1100.5114285714285,673.2642857142857
58,91,Male,69,1955-02-24,68,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,2166,NSW,Australia,9,1008.3050000000001,353.00374999999997
59,92,Female,98,1980-09-11,42,Recruiting Manager,Health,Mass Customer,N,No,12,3133,VIC,Australia,10,1699.4766666666667,710.3299999999999
60,93,Male,63,1976-07-16,46,Project Manager,Retail,Mass Customer,N,Yes,10,3070,VIC,Australia,10,1758.7099999999998,766.5733333333334
61,94,Male,33,1974-08-07,48,Civil Engineer,Manufacturing,Mass Customer,N,No,21,2777,NSW,Australia,7,1186.5385714285715,486.22285714285715
62,95,Female,67,1960-12-25,62,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,3133,VIC,Australia,10,1262.4499999999998,499.7475
63,96,Male,33,1968-08-31,54,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,2125,NSW,Australia,11,968.71,549.36
64,97,Male,16,1979-07-27,43,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,2766,NSW,Australia,8,1111.99375,498.09250000000003
65,98,Female,19,1956-03-17,67,Safety Technician IV,Health,Mass Customer,N,No,7,2209,NSW,Australia,10,1236.01,849.8979999999999
66,99,Male,97,1998-06-13,24,VP Accounting,Financial Services,Mass Customer,N,No,3,2160,NSW,Australia,9,919.8955555555555,413.49
67,100,Male,80,1968-05-11,55,General Manager,Financial Services,Mass Customer,N,Yes,4,2065,NSW,Australia,12,1374.1,935.4000000000001
68,101,Male,83,1975-12-29,47,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,2150,NSW,Australia,10,1077.455,429.98249999999996
69,102,Male,51,1956-11-27,66,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,2168,NSW,Australia,9,951.3171428571429,581.7442857142858
70,103,Female,49,1997-04-21,26,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,2046,NSW,Australia,12,981.9680000000001,799.3040000000001
71,104,Female,40,1978-06-06,45,Automation Specialist II,Health,Mass Customer,N,Yes,9,4171,QLD,Australia,10,998.4044444444444,469.58375
72,105,Female,25,2001-09-17,21,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,2155,NSW,Australia,10,1558.5875,689.8275
73,106,Male,54,1966-07-03,56,Software Test Engineer III,Health,High Net Worth,N,Yes,18,2517,NSW,Australia,9,968.7199999999999,130.82333333333332
74,107,Female,97,1990-07-01,32,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,2096,NSW,Australia,12,836.2750000000001,250.2825
75,112,Female,88,1975-08-12,47,Marketing Manager,Retail,High Net Worth,N,No,12,3204,VIC,Australia,11,1509.9816666666666,552.9499999999999
76,114,Female,10,1985-10-23,37,Teacher,Entertainment,Affluent Customer,N,No,8,2170,NSW,Australia,9,808.25,259.435
77,115,Male,77,1981-12-21,41,Account Executive,Health,Mass Customer,N,No,18,3844,VIC,Australia,1,1049.7725,657.78875
78,116,Male,49,1999-02-05,24,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,2168,NSW,Australia,8,707.99,402.04749999999996
79,117,Female,75,1982-02-23,41,Marketing Manager,Manufacturing,Mass Customer,N,No,15,4226,QLD,Australia,6,1285.683,593.949
80,120,Male,80,1978-09-02,44,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,2485,NSW,Australia,2,1039.4466666666667,603.8533333333334
81,121,Male,82,1957-10-02,65,Graphic Designer,Manufacturing,Mass Customer,N,No,15,2097,NSW,Australia,9,1081.86,358.8375
82,122,Male,87,1979-04-19,44,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,4817,QLD,Australia,2,1306.6779999999999,767.634
83,123,Female,85,1988-12-03,34,Analyst Programmer,Financial Services,High Net Worth,N,No,15,2516,NSW,Australia,8,1334.4475,523.01
84,124,Female,27,1995-05-03,28,Administrative Assistant II,Health,High Net Worth,N,Yes,5,3074,VIC,Australia,8,1181.7357142857143,602.5571428571428
85,125,Female,94,1960-03-17,63,Computer Systems Analyst II,Property,Mass Customer,N,No,16,2213,NSW,Australia,10,710.732,376.231
86,126,Male,53,1992-10-15,30,Administrative Officer,Health,Mass Customer,N,Yes,3,4508,QLD,Australia,4,1149.3733333333332,783.8866666666667
87,127,Female,81,1974-12-03,48,Compensation Analyst,Financial Services,Mass Customer,N,No,19,4405,QLD,Australia,1,994.9620000000001,595.591
88,128,Male,73,1977-07-17,45,Systems Administrator III,Property,Mass Customer,N,Yes,12,2452,NSW,Australia,5,919.9375,371.6725
89,129,Male,64,1985-07-20,37,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,2142,NSW,Australia,9,1022.62,334.1825
90,130,Male,32,1997-07-18,25,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,2205,NSW,Australia,7,1670.21,780.4200000000001
91,131,Female,57,1964-10-16,58,Administrative Officer,Retail,High Net Worth,N,No,8,4132,QLD,Australia,3,1457.5466666666669,541.7283333333334
92,132,Female,5,1963-07-07,59,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,2145,NSW,Australia,8,1227.655,764.2016666666667
93,133,Male,12,1977-06-13,45,VP Accounting,Financial Services,Mass Customer,N,Yes,16,4744,QLD,Australia,1,632.9100000000001,472.13199999999995
94,134,Female,34,1997-08-01,25,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,2158,NSW,Australia,11,1195.1583333333333,704.0883333333333
95,135,Female,18,1975-01-18,48,Internal Auditor,IT,Mass Customer,N,No,3,3201,VIC,Australia,6,980.0657142857143,330.13714285714286
96,136,Male,46,1973-05-26,50,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,4178,QLD,Australia,3,1175.85625,732.95625
97,137,Male,27,1987-11-21,35,Office Assistant II,Property,High Net Worth,N,No,10,2112,NSW,Australia,10,701.41,402.12
98,138,Male,5,1985-04-28,38,Recruiter,Financial Services,Affluent Customer,N,Yes,13,2033,NSW,Australia,9,703.907142857143,221.46142857142857
99,139,Male,1,1964-07-28,58,Operator,Telecommunications,Affluent Customer,N,No,4,4401,QLD,Australia,1,1182.0988888888887,608.6055555555555
100,140,Male,9,1994-05-20,29,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,3186,VIC,Australia,9,1274.89,824.9066666666666
101,141,Male,67,1954-06-25,68,Teacher,Financial Services,High Net Worth,N,Yes,10,2097,NSW,Australia,11,1351.3266666666668,638.5433333333334
102,142,Male,57,1967-08-07,55,Quality Engineer,Health,Affluent Customer,N,No,17,3058,VIC,Australia,9,1134.0672727272727,777.9454545454545
103,143,Male,19,1957-09-01,65,Operator,Argiculture,Mass Customer,N,Yes,11,4017,QLD,Australia,6,1172.3025,553.61
104,145,Male,33,1997-07-21,25,Account Executive,Financial Services,Mass Customer,N,No,4,2285,NSW,Australia,5,1164.1699999999998,715.5557142857142
105,146,Male,34,1985-04-08,38,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,2219,NSW,Australia,11,986.645,878.115
106,147,Female,32,1973-12-06,49,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,2065,NSW,Australia,11,1346.515,507.4883333333333
107,149,Female,41,1995-01-31,28,Research Nurse,Health,Mass Customer,N,Yes,1,4509,QLD,Australia,7,1181.955,814.5416666666666
108,150,Male,6,1983-08-23,39,Cost Accountant,Financial Services,Affluent Customer,N,No,17,2330,NSW,Australia,7,907.74,296.1125
109,151,Male,36,1965-01-31,58,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,2759,NSW,Australia,9,1630.9425,822.4914285714286
110,152,Female,5,1981-03-03,42,Compensation Analyst,Financial Services,Mass Customer,N,No,16,2069,NSW,Australia,12,1470.685,487.245
111,153,Female,73,1977-07-28,45,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,2747,NSW,Australia,8,1115.4514285714286,326.5214285714286
112,155,Male,4,1985-12-28,37,Quality Engineer,Manufacturing,Mass Customer,N,No,10,2025,NSW,Australia,10,1336.17,973.3633333333333
113,156,Female,23,1979-09-09,43,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,3191,VIC,Australia,11,966.316,347.242
114,157,Male,97,1974-11-23,48,Financial Advisor,Financial Services,Affluent Customer,N,No,16,3025,VIC,Australia,8,635.3475,512.29
115,159,Male,90,1987-05-12,36,Research Nurse,Health,Affluent Customer,N,No,13,2233,NSW,Australia,10,1002.7199999999999,513.4916666666667
116,160,Male,5,1964-07-15,58,Registered Nurse,Health,Mass Customer,N,No,18,2154,NSW,Australia,11,1512.29,205.20999999999998
117,162,Male,90,1979-08-12,43,Nurse Practicioner,IT,Mass Customer,N,No,15,2119,NSW,Australia,10,1105.8233333333333,662.62
118,163,Female,58,1976-09-06,46,Librarian,Entertainment,High Net Worth,N,Yes,14,3016,VIC,Australia,10,1544.62,993.98
119,164,Female,55,1999-08-07,23,Senior Editor,Retail,Affluent Customer,N,Yes,1,4113,QLD,Australia,4,861.2833333333333,599.2366666666667
120,165,Male,61,1984-03-25,39,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,2032,NSW,Australia,10,1099.3055555555557,412.3588888888889
121,166,Male,54,1955-06-12,68,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,4300,QLD,Australia,4,1217.215,692.535
122,169,Male,20,1957-10-19,65,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,2116,NSW,Australia,9,688.36,456.27333333333337
123,170,Male,80,1975-06-02,48,Pharmacist,Health,High Net Worth,N,No,21,3057,VIC,Australia,8,1063.5775,608.375
124,171,Female,62,1970-12-04,52,Assistant Manager,Manufacturing,Mass Customer,N,No,10,2099,NSW,Australia,11,1096.1533333333334,564.33875
125,172,Male,54,1988-09-12,34,Editor,Manufacturing,Affluent Customer,N,Yes,6,3749,VIC,Australia,4,1268.7675,985.9371428571428
126,173,Female,99,1997-01-02,26,General Manager,Health,Affluent Customer,N,No,1,2766,NSW,Australia,8,1562.3866666666665,834.6633333333334
127,174,Female,93,1989-11-26,33,Food Chemist,Health,Mass Customer,N,No,12,2148,NSW,Australia,9,1289.357,526.533
128,175,Male,36,1975-11-28,47,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,3145,VIC,Australia,11,1201.606,767.4979999999999
129,176,Male,39,1992-04-13,31,Accountant I,Property,Mass Customer,N,No,10,2021,NSW,Australia,8,1346.6299999999999,728.616
130,177,Female,25,1989-11-09,33,Professor,Financial Services,High Net Worth,N,No,4,2333,NSW,Australia,5,985.5283333333333,643.145
131,179,Male,23,1966-05-11,57,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,2280,NSW,Australia,9,1056.28,451.4166666666667
132,180,Female,16,1971-09-17,51,Web Designer III,Argiculture,Affluent Customer,N,No,14,4120,QLD,Australia,8,1138.652857142857,557.8885714285715
133,181,Female,49,1982-11-21,40,Senior Editor,Manufacturing,Mass Customer,N,No,9,3638,VIC,Australia,1,943.9833333333332,379.406
134,182,Male,99,1992-11-20,30,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,4300,QLD,Australia,4,1325.5728571428572,552.8414285714285
135,183,Female,7,1997-08-05,25,Geologist III,Retail,Affluent Customer,N,No,3,2074,NSW,Australia,10,991.3299999999999,460.02333333333337
136,184,Male,40,1971-12-13,51,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7,2880,NSW,Australia,1,1244.96,517.8433333333334
137,186,Female,46,1974-05-06,49,Software Test Engineer I,Financial Services,Mass Customer,N,No,3,4560,QLD,Australia,7,925.1416666666668,564.1133333333333
138,188,Female,54,1975-06-22,47,Safety Technician II,Property,High Net Worth,N,Yes,13,2220,NSW,Australia,11,854.3449999999999,411.2
139,189,Male,73,1981-07-19,41,Safety Technician I,Financial Services,Affluent Customer,N,No,10,3031,VIC,Australia,4,1726.738,660.742
140,190,Female,42,1979-02-04,44,Registered Nurse,Health,Affluent Customer,N,No,10,2250,NSW,Australia,9,770.7675,594.6975
141,192,Female,2,1978-11-19,44,Junior Executive,Health,Mass Customer,N,Yes,8,3196,VIC,Australia,6,959.0725,579.2049999999999
142,193,Male,13,1964-07-22,58,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,4352,QLD,Australia,7,1473.672,963.372
143,194,Female,4,1974-11-16,48,Web Developer III,Financial Services,Affluent Customer,N,No,10,4680,QLD,Australia,5,1437.8433333333335,568.4166666666666
144,195,Female,34,1958-11-14,64,Project Manager,Manufacturing,Mass Customer,N,No,6,3143,VIC,Australia,9,1782.78,406.5785714285715
145,196,Male,90,1966-02-22,57,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6,2747,NSW,Australia,8,793.32625,326.07625
146,198,Female,82,1981-11-29,41,Assistant Media Planner,Entertainment,Mass Customer,N,No,16,3021,VIC,Australia,7,1294.3166666666666,557.4422222222222
147,199,Female,61,1978-02-13,45,Junior Executive,Health,Mass Customer,N,Yes,21,2138,NSW,Australia,8,1080.9650000000001,418.3325
148,200,Male,7,1957-02-04,66,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19,4005,QLD,Australia,2,1235.2622222222224,425.94444444444446
149,201,Male,45,1966-04-20,57,Design Engineer,Manufacturing,Mass Customer,N,Yes,11,2233,NSW,Australia,9,1145.9225000000001,599.795
150,202,Female,38,1963-06-24,59,Librarian,Entertainment,Affluent Customer,N,Yes,16,4811,QLD,Australia,5,837.2733333333334,405.3033333333333
151,203,Male,71,1964-01-13,59,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11,2085,NSW,Australia,11,875.2520000000001,579.028
152,204,Male,56,1976-10-01,46,Editor,Financial Services,Mass Customer,N,No,5,3084,VIC,Australia,10,1430.5,644.58875
153,205,Male,18,1958-12-01,64,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6,3170,VIC,Australia,9,767.2088888888889,544.0677777777778
154,208,Male,57,1994-10-31,28,Office Assistant III,Property,High Net Worth,N,No,5,4078,QLD,Australia,7,1031.7959999999998,363.392
155,210,Male,50,1963-11-18,59,Assistant Manager,Property,Mass Customer,N,No,18,3152,VIC,Australia,9,1467.5333333333335,974.695
156,211,Female,6,1974-03-04,49,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,2159,NSW,Australia,10,1119.3066666666666,664.8566666666667
157,212,Female,21,2001-11-19,21,Desktop Support Technician,IT,Affluent Customer,N,No,1,4503,QLD,Australia,4,1214.9,319.695
158,213,Male,13,1996-05-14,27,Actuary,Financial Services,High Net Worth,N,Yes,6,4655,QLD,Australia,4,1232.3236363636363,455.5509090909091
159,214,Male,82,1957-11-29,65,Food Chemist,Health,Mass Customer,N,No,6,4220,QLD,Australia,9,1139.0766666666666,722.6033333333335
160,215,Female,37,1974-06-24,48,Assistant Professor,Retail,High Net Worth,N,Yes,18,4012,QLD,Australia,3,1060.645,574.47125
161,216,Female,12,1995-01-12,28,Quality Engineer,Financial Services,High Net Worth,N,Yes,7,2153,NSW,Australia,10,1166.194,662.39
162,218,Female,37,1993-08-06,29,Administrative Officer,Property,High Net Worth,N,Yes,8,2015,NSW,Australia,8,846.5360000000001,412.35749999999996
163,219,Male,9,1964-11-25,58,Database Administrator III,Health,Mass Customer,N,No,7,2776,NSW,Australia,8,1130.7957142857142,744.6566666666668
164,220,Female,79,1954-05-10,69,Electrical Engineer,Manufacturing,High Net Worth,N,No,9,3011,VIC,Australia,8,1243.115,525.7633333333334
165,221,Female,14,1980-03-10,43,Tax Accountant,Manufacturing,Mass Customer,N,No,14,2761,NSW,Australia,8,1121.64,477.35999999999996
166,222,Male,89,1978-09-03,44,Clinical Specialist,Health,Mass Customer,N,No,16,2015,NSW,Australia,11,1313.405,599.375
167,224,Male,2,1967-12-03,55,Compensation Analyst,Financial Services,Affluent Customer,N,No,17,2110,NSW,Australia,12,1034.91,419.56166666666667
168,225,Female,84,1977-03-11,46,Pharmacist,Health,Affluent Customer,N,No,13,2566,NSW,Australia,9,805.3766666666667,276.1933333333333
169,226,Male,96,1977-11-11,45,Database Administrator IV,Manufacturing,Mass Customer,N,No,20,2519,NSW,Australia,7,819.975,233.04500000000002
170,227,Male,99,1973-08-14,49,Accountant I,Entertainment,Mass Customer,N,No,18,2506,NSW,Australia,9,1117.826,336.62
171,228,Female,59,1986-05-25,37,Systems Administrator II,Manufacturing,High Net Worth,N,No,12,2209,NSW,Australia,7,1035.634,291.684
172,230,Female,74,1954-06-24,68,Internal Auditor,Property,High Net Worth,N,No,11,2075,NSW,Australia,11,1068.6909090909091,585.0881818181819
173,231,Male,48,1995-08-05,27,Design Engineer,Financial Services,Mass Customer,N,Yes,3,2226,NSW,Australia,10,1334.66,748.53
174,232,Female,94,1987-11-11,35,Professor,Retail,Mass Customer,N,No,12,2145,NSW,Australia,9,688.7399999999999,162.475
175,233,Male,34,1986-08-08,36,Environmental Tech,Property,Mass Customer,N,No,13,2508,NSW,Australia,10,869.77,505.25499999999994
176,234,Female,71,1969-08-12,53,Chief Design Engineer,Retail,High Net Worth,N,No,12,2036,NSW,Australia,10,1155.799,589.6733333333333
177,235,Female,30,1976-12-26,46,Social Worker,Health,Mass Customer,N,No,15,2018,NSW,Australia,8,875.419090909091,449.43545454545455
178,236,Male,79,1954-10-30,68,Research Nurse,Health,Affluent Customer,N,No,14,3666,VIC,Australia,2,1313.835,705.175
179,237,Male,18,1974-03-07,49,Account Coordinator,Property,High Net Worth,N,Yes,11,2021,NSW,Australia,11,894.59875,440.21875
180,239,Male,62,1992-12-13,30,Registered Nurse,Health,Affluent Customer,N,No,3,4514,QLD,Australia,3,1442.9033333333334,784.2111111111111
181,240,Male,49,1989-07-28,33,Administrative Assistant III,IT,High Net Worth,N,Yes,15,2525,NSW,Australia,9,948.255,558.5533333333334
182,241,Male,94,1987-05-09,36,Quality Engineer,Entertainment,Mass Customer,N,No,20,4152,QLD,Australia,7,963.9675,483.2625
183,242,Male,17,1992-03-20,31,Nurse,Property,Affluent Customer,N,No,8,2200,NSW,Australia,9,1114.0357142857142,748.5071428571429
184,243,Female,94,1976-09-02,46,Teacher,Manufacturing,High Net Worth,N,Yes,14,2250,NSW,Australia,8,1469.7300000000002,909.604
185,245,Female,6,2001-09-26,21,Associate Professor,Financial Services,Affluent Customer,N,No,1,3500,VIC,Australia,1,971.052,528.4480000000001
186,246,Female,63,1991-02-28,32,Technical Writer,Manufacturing,High Net Worth,N,No,9,4300,QLD,Australia,5,1080.5533333333333,727.8688888888888
187,247,Female,62,1983-05-06,40,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,2283,NSW,Australia,4,1396.91,695.03
188,248,Female,76,1978-04-15,45,Clinical Specialist,Health,Affluent Customer,N,Yes,12,2102,NSW,Australia,10,1271.7371428571428,815.5485714285714
189,249,Male,65,1992-09-13,30,Quality Control Specialist,IT,High Net Worth,N,No,9,2204,NSW,Australia,11,729.9044444444445,481.4455555555556
190,250,Male,53,1988-04-15,35,Legal Assistant,Health,Mass Customer,N,Yes,13,2040,NSW,Australia,10,1409.467142857143,835.3171428571429
191,251,Female,88,1977-12-24,45,VP Sales,Financial Services,Affluent Customer,N,Yes,10,2749,NSW,Australia,8,856.25,553.75
192,252,Female,39,1983-01-24,40,Account Coordinator,Property,Mass Customer,N,Yes,13,2304,NSW,Australia,7,1113.096,593.568
